Year;Month;Number_of_hours;Mean
1991;9;803520;23.8634194988591
1991;10;804240;23.7138872652574
1991;11;804984;24.126984408774
1991;12;805704;24.6362314068833
1992;1;806448;25.1215554886847
1992;2;807192;25.7036316714878
1992;3;807888;26.0757255700105
1992;4;808632;25.679558957023
1992;5;809352;24.9230886883229
1992;6;810096;23.8557385057334
1992;7;810816;22.896534693301
1992;8;811560;23.0227293594133
1992;9;812304;23.4752629137637
1992;10;813024;23.9025494729087
1992;11;813768;24.1145383358706
1992;12;814488;24.4790437504855
1993;1;815232;24.8318381577383
1993;2;815976;25.3440128771503
1993;3;816648;25.5648065247926
1993;4;817392;25.7146910833336
1993;5;818112;25.4337179093275
1993;6;818856;24.3752640841434
1993;7;819576;23.5869679978947
1993;8;820320;23.5708501396714
1993;9;821064;24.1441981673486
1993;10;821784;24.7286074798575
1993;11;822528;24.9184690092569
1993;12;823248;25.1093257456557
1994;1;823992;25.3017878345773
1994;2;824736;25.6551300494959
1994;3;825408;25.9291287532407
1994;4;826152;25.7755045339987
1994;5;826872;25.3145267040412
1994;6;827616;24.1611478349078
1994;7;828336;23.170009042421
1994;8;829080;23.4351625701368
1994;9;829824;23.9097727652784
1994;10;830544;24.2060105709849
1994;11;831288;24.4562344871782
1994;12;832008;24.8850269677237
1995;1;832752;25.3561855348258
1995;2;833496;25.5731047889317
1995;3;834168;25.985950708032
1995;4;834912;25.9401599481464
1995;5;835632;25.5358656756072
1995;6;836376;24.8531499280818
1995;7;837096;24.0012469955298
1995;8;837840;23.8462668159125
1995;9;838584;24.1795174701004
1995;10;839304;24.3503699839165
1995;11;840048;24.7057531834537
1995;12;840768;24.8573569802052
1996;1;841512;25.1787780588785
1996;2;842256;25.635528070999
1996;3;842952;25.8057449096791
1996;4;843696;25.7481665128768
1996;5;844416;25.4421349452045
1996;6;845160;24.9800636986379
1996;7;845880;23.9047220551471
1996;8;846624;23.6656687084426
1996;9;847368;23.9005201333765
1996;10;848088;24.2712251314019
1996;11;848832;24.3877383332699
1996;12;849552;24.6201452672695
1997;1;850296;25.04485826232
1997;2;851040;25.6182864619381
1997;3;851712;25.8680664804673
1997;4;852456;25.3300029831511
1997;5;853176;25.0213777778612
1997;6;853920;23.9423178501391
1997;7;854640;23.4477602327488
1997;8;855384;23.7518949950015
1997;9;856128;24.2878209674897
1997;10;856848;24.7548779397194
1997;11;857592;24.7444632422025
1997;12;858312;25.102451805878
1998;1;859056;25.7479535625206
1998;2;859800;26.7121650878422
1998;3;860472;26.7778704927227
1998;4;861216;26.6794654409255
1998;5;861936;26.113575968937
1998;6;862680;25.1185484097828
1998;7;863400;24.1551927168775
1998;8;864144;23.9114780782457
1998;9;864888;24.1858778045638
1998;10;865608;24.6414352946895
1998;11;866352;24.9533191290346
1998;12;867072;25.0520277674199
1999;1;867816;25.1805192028809
1999;2;868560;25.8226164818687
1999;3;869232;25.738708259694
1999;4;869976;25.6433034463285
1999;5;870696;25.280480461679
1999;6;871440;24.8654216504258
1999;7;872160;23.9307874637674
1999;8;872904;23.7234131088018
1999;9;873648;23.8522361442056
1999;10;874368;24.2142200718779
1999;11;875112;24.5364385946672
1999;12;875832;24.816295346911
2000;1;876576;25.1481823859116
2000;2;877320;25.4194890795605
2000;3;878016;25.8774628029632
2000;4;878760;25.6615413617501
2000;5;879480;25.49032373783
2000;6;880224;24.3755580207823
2000;7;880944;23.4808918472235
2000;8;881688;23.4254485729411
2000;9;882432;23.6874409890211
2000;10;883152;24.2478198921168
2000;11;883896;24.5004273050504
2000;12;884616;24.6261053527843
2001;1;885360;24.7047738154006
2001;2;886104;25.4881311227856
2001;3;886776;25.7283694588242
2001;4;887520;25.5970504253733
2001;5;888240;25.5042131499737
2001;6;888984;24.3104536815151
2001;7;889704;23.4644288709852
2001;8;890448;23.4219416103826
2001;9;891192;23.7969990205261
2001;10;891912;24.5134552251031
2001;11;892656;24.5520848268912
2001;12;893376;24.8726859449004
2002;1;894120;25.0942191776805
2002;2;894864;25.8406496717853
2002;3;895536;25.838568295818
2002;4;896280;25.7217684049524
2002;5;897000;25.746416573984
2002;6;897744;24.7463532478688
2002;7;898464;23.9889137496698
2002;8;899208;23.6351297950926
2002;9;899952;23.9208754593859
2002;10;900672;24.2757230256658
2002;11;901416;24.6130888335156
2002;12;902136;25.0616864300966
2003;1;902880;25.5498537859658
