Year,Month,Julian_day,Mean
1910,11,22233,-0.983097636
1910,12,22263.5,0.406937562
1911,1,22294.5,-1.056153987
1911,2,22324,-1.291951424
1911,3,22353.5,-0.434586724
1911,4,22384,-0.841865246
1911,5,22414.5,-0.889948477
1911,6,22445,-0.350520114
1911,7,22475.5,0.078878259
1911,8,22506.5,1.467953246
1911,9,22537,0.744770498
1911,10,22567.5,0.23058512
1911,11,22598,0.925158202
1911,12,22628.5,1.114282431
1912,1,22659.5,0.104369991
1912,2,22689.5,0.990195885
1912,3,22719.5,0.959794752
1912,4,22750,-0.772433548
1912,5,22780.5,-0.163424813
1912,6,22811,-0.437325022
1912,7,22841.5,-0.164932209
1912,8,22872.5,-0.992183413
1912,9,22903,-2.81962835
1912,10,22933.5,-1.241296153
1912,11,22964,-1.961711847
1912,12,22994.5,-0.449593667
1913,1,23025.5,0.233204734
1913,2,23055,-0.680477904
1913,3,23084.5,0.495268288
1913,4,23115,-0.196743014
1913,5,23145.5,-0.432348775
1913,6,23176,-0.009182831
1913,7,23206.5,-2.038105086
1913,8,23237.5,-1.155355722
1913,9,23268,0.310500853
1913,10,23298.5,0.353928838
1913,11,23329,0.903264715
1913,12,23359.5,0.05225373
1914,1,23390.5,-1.411048032
1914,2,23420,-0.103975847
1914,3,23449.5,0.220405034
1914,4,23480,0.73660978
1914,5,23510.5,-0.084098243
1914,6,23541,-1.371424744
1914,7,23571.5,-1.23507912
1914,8,23602.5,-1.077862839
1914,9,23633,-1.056316928
1914,10,23663.5,-1.271056243
1914,11,23694,-0.983393377
1914,12,23724.5,0.355077795
1915,1,23755.5,-0.269494741
1915,2,23785,-0.605642456
1915,3,23814.5,-0.677910501
1915,4,23845,-0.629609307
1915,5,23875.5,0.751528236
1915,6,23906,1.143688453
1915,7,23936.5,0.214343309
1915,8,23967.5,-0.261812177
1915,9,23998,-1.391029813
1915,10,24028.5,-1.546369755
1915,11,24059,-0.888341441
1915,12,24089.5,0.794470068
1916,1,24120.5,0.024651166
1916,2,24150.5,0.129442109
1916,3,24180.5,0.752664379
1916,4,24211,0.380538887
1916,5,24241.5,0.398920974
1916,6,24272,0.641807593
1916,7,24302.5,0.464347605
1916,8,24333.5,-0.617445313
1916,9,24364,-1.137914357
1916,10,24394.5,-0.687810563
1916,11,24425,0.129208407
1916,12,24455.5,1.141252856
1917,1,24486.5,-0.317018928
1917,2,24516,-1.83794792
1917,3,24545.5,-0.765516305
1917,4,24576,-0.87348931
1917,5,24606.5,0.529611282
1917,6,24637,1.82648847
1917,7,24667.5,-0.130531914
1917,8,24698.5,1.022156794
1917,9,24729,1.177042943
1917,10,24759.5,-0.769901393
1917,11,24790,-1.532424753
1917,12,24820.5,-1.830866758
1918,1,24851.5,-0.107687421
1918,2,24881,-0.806426423
1918,3,24910.5,-0.90685395
1918,4,24941,-0.391808803
1918,5,24971.5,-0.425478585
1918,6,25002,-2.762591622
1918,7,25032.5,-1.22653919
1918,8,25063.5,-0.674668041
1918,9,25094,1.316079913
1918,10,25124.5,-1.469353719
1918,11,25155,-1.081817226
1918,12,25185.5,0.116343002
1919,1,25216.5,0.203134228
1919,2,25246,-0.195954275
1919,3,25275.5,-0.014654853
1919,4,25306,-0.820007977
1919,5,25336.5,-2.012954381
1919,6,25367,0.361520554
1919,7,25397.5,-1.286114976
1919,8,25428.5,-0.219633708
1919,9,25459,0.225761927
1919,10,25489.5,-1.222206498
1919,11,25520,-0.98626048
1919,12,25550.5,-0.367160795
1920,1,25581.5,0.595001453
1920,2,25611.5,0.126846554
1920,3,25641.5,0.567015743
1920,4,25672,0.69014491
1920,5,25702.5,1.326905408
1920,6,25733,0.362145307
1920,7,25763.5,0.787628686
1920,8,25794.5,-0.154261679
1920,9,25825,0.193281074
1920,10,25855.5,-0.382720573
1920,11,25886,-0.544485851
1920,12,25916.5,0.368080238
1921,1,25947.5,0.562010277
1921,2,25977,-0.160759781
1921,3,26006.5,0.23835888
1921,4,26037,-0.684123231
1921,5,26067.5,0.480125762
1921,6,26098,-1.056600154
1921,7,26128.5,0.132715724
1921,8,26159.5,0.391928189
1921,9,26190,0.572245076
1921,10,26220.5,0.611655697
1921,11,26251,-0.668081092
1921,12,26281.5,-0.791099061
1922,1,26312.5,-0.839263718
1922,2,26342,-0.844886842
1922,3,26371.5,0.701377995
1922,4,26402,0.00189099
1922,5,26432.5,0.39995031
1922,6,26463,0.756064
1922,7,26493.5,-0.371168326
1922,8,26524.5,0.788936091
1922,9,26555,-0.862866612
1922,10,26585.5,-0.693364489
1922,11,26616,-1.589350175
1922,12,26646.5,-0.885251656
1923,1,26677.5,-0.866708075
1923,2,26707,-0.357927018
1923,3,26736.5,-0.327487086
1923,4,26767,-0.401959059
1923,5,26797.5,0.312790204
